customer_id,monthly_income,monthly_expenses,average_monthly_inflow,average_monthly_outflow,transaction_count,average_transaction,savings_balance,failed_payments,late_payments,account_age_months,spending_volatility,weekend_spending_ratio,night_transaction_ratio,new_device,failed_logins,location_change,high_credit_risk,fraud_label
C00000,51613.6,36214.77,44363.78,37016.75,81,416.85,79875.54,0,0,10,0.3388,0.1468,0.1814,0,0,0,0,0
C00001,28181.61,13025.58,34242.95,12804.71,75,144.6,74279.56,1,3,56,0.6481,0.3134,0.0784,0,4,0,0,0
C00002,63077.59,45376.67,76034.9,42673.77,75,541.0,61935.52,0,0,44,0.257,0.1615,0.1961,0,0,0,0,0
C00003,68711.5,29526.03,90586.5,27672.32,67,505.4,131504.31,1,0,46,0.4702,0.1429,0.2018,0,0,0,0,0
C00004,18703.24,9571.63,21908.71,11221.59,66,193.04,23797.44,0,0,26,0.5881,0.3236,0.0763,0,2,0,0,0
C00005,25045.19,13286.07,27611.52,13569.09,61,275.51,56356.13,0,1,41,0.1673,0.3405,0.1964,0,0,0,0,0
C00006,47664.68,23106.87,57432.93,26022.3,51,445.25,75904.47,2,0,9,0.1693,0.3315,0.0304,0,1,0,0,0
C00007,39030.89,13719.77,38051.32,15671.96,55,279.03,34375.02,0,1,43,0.3749,0.2424,0.238,0,0,0,0,0
C00008,44661.06,20364.51,44774.95,22156.34,62,393.24,96445.56,0,1,58,0.5205,0.1184,0.2043,0,0,0,0,0
C00009,30654.91,15387.05,31951.32,17637.33,65,331.71,31194.1,1,0,36,0.3899,0.2376,0.1386,0,1,0,0,0
C00010,66846.01,32830.16,81168.82,34528.04,75,490.52,100825.88,1,2,31,0.0647,0.2113,0.1768,0,0,0,0,0
C00011,63858.45,44924.42,60492.76,54522.87,81,490.9,100386.05,1,0,59,0.3472,0.311,0.1947,1,1,0,0,0
C00012,46357.19,17213.14,43323.23,19774.63,75,255.13,146705.24,1,0,3,0.2525,0.1472,0.1423,0,1,0,0,0
C00013,74732.95,39236.81,80590.86,45701.98,65,855.16,197284.15,0,0,9,0.2526,0.1811,0.0313,1,1,0,0,0
C00014,55536.57,20375.36,63095.3,19099.42,80,280.08,126447.91,1,0,54,0.0887,0.4304,0.1901,0,0,0,0,0
C00015,30568.83,23501.05,29518.19,25418.49,85,380.9,17451.78,0,0,40,0.6139,0.3128,0.2432,0,1,0,0,0
C00016,53122.49,37482.92,60052.32,31103.22,68,525.32,64812.12,1,2,30,0.5256,0.1851,0.021,1,3,0,1,0
C00017,29229.12,23148.66,35490.22,28197.91,69,325.62,10645.58,1,1,20,0.0737,0.1778,0.109,0,1,0,0,0
C00018,66817.51,50752.72,79783.81,49494.1,64,634.85,132227.28,1,0,9,0.295,0.3496,0.0891,0,1,0,0,0
C00019,44000.27,21653.23,48065.68,21476.44,65,299.8,25907.6,1,1,57,0.1164,0.3797,0.1184,0,0,0,0,0
C00020,41408.01,27379.5,43028.24,24255.95,65,286.99,12251.2,0,0,5,0.3459,0.3488,0.154,0,0,0,0,0
C00021,33123.54,16162.61,41678.52,16900.39,72,261.96,45620.47,1,0,22,0.1785,0.1961,0.2023,0,1,0,0,0
C00022,78007.59,58481.9,82052.16,59523.45,79,689.44,207150.63,2,0,11,0.0816,0.4155,0.1167,0,0,0,0,0
C00023,41977.1,22450.98,48812.76,28484.09,75,310.58,67375.06,0,2,9,0.5502,0.1175,0.1234,0,0,0,0,0
C00024,37111.06,19266.18,47687.48,22215.99,71,263.31,18029.49,1,0,10,0.2222,0.2053,0.1402,0,0,1,0,0
C00025,38405.57,29239.35,44175.32,28895.55,75,487.18,76118.92,0,0,43,0.5408,0.2341,0.2422,0,1,0,0,0
C00026,57179.85,41543.06,53197.22,35313.76,76,539.81,96253.17,0,1,10,0.2383,0.3863,0.1736,0,0,0,0,0
C00027,53043.5,41633.11,47809.02,32305.61,54,534.1,178816.76,0,0,57,0.559,0.2931,0.1264,1,1,0,0,0
C00028,54184.35,20585.7,54958.35,19079.85,86,259.45,35375.67,1,2,30,0.1231,0.4094,0.2438,0,1,0,0,0
C00029,54627.2,25101.34,62009.51,22346.56,74,378.12,134013.89,1,1,32,0.3089,0.3121,0.2449,0,0,0,0,0
C00030,117966.88,57259.47,130161.62,62517.81,72,1008.65,304101.84,1,0,31,0.5957,0.3542,0.0547,0,0,0,0,0
C00031,37478.81,20274.48,49279.01,20935.56,63,310.4,112436.61,1,1,12,0.236,0.2112,0.2166,0,0,0,0,0
C00032,35735.81,20115.99,39388.25,21163.62,67,254.76,106987.52,2,0,23,0.1358,0.2852,0.2317,0,3,0,0,0
C00033,31201.46,15012.97,31535.53,14054.09,65,253.59,47863.83,0,2,15,0.3939,0.1342,0.2189,0,0,0,0,0
C00034,59373.81,41900.26,54267.6,44759.69,72,455.84,158334.76,0,2,52,0.2865,0.235,0.2194,0,2,0,0,0
C00035,74791.18,33690.43,89125.1,29632.46,76,340.18,111618.15,1,0,59,0.1137,0.2046,0.2335,0,0,0,0,0
C00036,42750.72,28362.23,44857.17,29479.82,72,305.71,134772.43,2,1,58,0.0775,0.2091,0.0661,0,0,0,0,0
C00037,30833.2,22609.86,26802.17,25992.96,67,328.95,77894.51,0,0,32,0.5596,0.3691,0.1064,0,0,1,0,0
C00038,31051.46,19303.58,32686.98,19422.26,77,224.2,10546.8,0,2,41,0.5324,0.3119,0.1883,0,3,0,0,0
C00039,60305.86,30718.09,56115.29,33889.34,76,409.61,49569.03,0,0,12,0.1296,0.4174,0.0665,0,1,0,0,0
